epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9576,0.61856,0.339,0.91911,0.9791,0.98972,0.99438,0.86245,0.55287,0.29298,0.8692,0.000662162,0.000662162,0.000662162
2,42.3416,0.65834,0.36801,0.93199,0.98197,0.98026,0.99261,0.85078,0.59162,0.32221,0.88786,0.00128498,0.00128498,0.00128498
3,61.5127,0.67687,0.3864,0.93763,0.97875,0.99229,0.99438,0.84226,0.61692,0.333,0.89729,0.00186379,0.00186379,0.00186379
4,80.7901,0.69828,0.3949,0.93719,0.97983,0.98458,0.99287,0.84481,0.61796,0.36742,0.90066,0.001802,0.001802,0.001802
5,99.583,0.68862,0.39701,0.94291,0.99063,0.98201,0.99456,0.85721,0.58103,0.32242,0.88905,0.001736,0.001736,0.001736
6,117.814,0.69384,0.40016,0.94209,0.9748,0.99433,0.99433,0.8533,0.58208,0.33022,0.88945,0.00167,0.00167,0.00167
7,135.943,0.69115,0.39552,0.94202,0.97985,0.98715,0.99404,0.85659,0.55913,0.33485,0.88643,0.001604,0.001604,0.001604
8,154.133,0.6808,0.38677,0.94028,0.97457,0.99229,0.9943,0.85299,0.58984,0.32002,0.88449,0.001538,0.001538,0.001538
9,172.422,0.67387,0.38297,0.93597,0.97961,0.98783,0.99436,0.84794,0.60664,0.33746,0.89841,0.001472,0.001472,0.001472
10,191.19,0.66995,0.37718,0.93682,0.9871,0.9835,0.99368,0.84795,0.61995,0.3152,0.89176,0.001406,0.001406,0.001406
11,209.424,0.66862,0.37077,0.93693,0.98221,0.99378,0.99448,0.86683,0.57645,0.2971,0.88819,0.00134,0.00134,0.00134
12,227.753,0.66132,0.36844,0.93291,0.98465,0.98958,0.99441,0.86694,0.56669,0.29622,0.8752,0.001274,0.001274,0.001274
13,246.166,0.65509,0.36542,0.92988,0.9942,0.98715,0.99466,0.85382,0.59119,0.29743,0.88228,0.001208,0.001208,0.001208
14,264.652,0.64046,0.35596,0.92264,0.98126,0.98715,0.99402,0.86442,0.57923,0.29409,0.88287,0.001142,0.001142,0.001142
15,283.013,0.64135,0.35219,0.92748,0.98517,0.98972,0.99445,0.86407,0.55057,0.28865,0.86709,0.001076,0.001076,0.001076
16,301.362,0.63428,0.35023,0.92382,0.99481,0.98593,0.99429,0.86711,0.55521,0.27445,0.86815,0.00101,0.00101,0.00101
17,319.895,0.65392,0.35863,0.92705,0.98966,0.98436,0.99415,0.86964,0.5381,0.28242,0.86884,0.000944,0.000944,0.000944
18,338.403,0.63567,0.34892,0.92366,0.98143,0.98972,0.99449,0.87048,0.5477,0.28673,0.86408,0.000878,0.000878,0.000878
19,356.929,0.63511,0.34299,0.92233,0.98431,0.98972,0.99265,0.86435,0.55677,0.27904,0.86874,0.000812,0.000812,0.000812
20,375.397,0.62276,0.33761,0.91975,0.98702,0.97706,0.99419,0.87278,0.54573,0.27799,0.8671,0.000746,0.000746,0.000746
21,427.901,0.54816,0.29779,0.86743,0.99219,0.97919,0.9941,0.86658,0.56218,0.28291,0.87054,0.00068,0.00068,0.00068
22,446.513,0.54581,0.29418,0.87004,0.98932,0.97943,0.99411,0.88009,0.54474,0.26919,0.86175,0.000614,0.000614,0.000614
23,465.155,0.53542,0.28342,0.86702,0.98903,0.98201,0.99411,0.88127,0.53554,0.27118,0.85937,0.000548,0.000548,0.000548
24,483.896,0.52502,0.28428,0.86531,0.99348,0.97686,0.99375,0.87826,0.54685,0.27603,0.8646,0.000482,0.000482,0.000482
25,502.534,0.51777,0.27832,0.86202,0.98431,0.98201,0.99406,0.87969,0.53794,0.26902,0.86152,0.000416,0.000416,0.000416
26,521.182,0.51433,0.27319,0.86333,0.98668,0.98201,0.99413,0.88305,0.54097,0.26492,0.86003,0.00035,0.00035,0.00035
27,539.991,0.5102,0.26702,0.85774,0.98426,0.98715,0.99414,0.88427,0.52604,0.27051,0.85624,0.000284,0.000284,0.000284
28,558.755,0.50121,0.26138,0.85799,0.98968,0.98599,0.99419,0.8897,0.51751,0.25473,0.85364,0.000218,0.000218,0.000218
29,577.466,0.49044,0.25253,0.85287,0.98405,0.98972,0.9941,0.88608,0.521,0.25816,0.85276,0.000152,0.000152,0.000152
30,596.163,0.49092,0.25054,0.8551,0.98654,0.98715,0.99427,0.88657,0.5203,0.25131,0.85287,8.6e-05,8.6e-05,8.6e-05
