epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,377.006,0.8452,0.67872,0.99393,0.97924,0.96985,0.98922,0.76804,0.80868,0.74752,1.02125,0.000662162,0.000662162,0.000662162
2,743.785,0.94139,0.69535,1.04062,0.96034,0.92288,0.97034,0.73623,0.8799,1.02015,1.04064,0.00130198,0.00130198,0.00130198
3,1110.39,0.9866,0.70112,1.06352,0.96804,0.92545,0.96638,0.72105,0.93173,0.91247,1.07468,0.00191486,0.00191486,0.00191486
4,1479.21,0.9412,0.6524,1.04362,0.96945,0.9563,0.98729,0.74733,0.87124,0.53529,1.01078,0.00187878,0.00187878,0.00187878
5,1850.84,0.91796,0.60336,1.03222,0.97974,0.96144,0.99002,0.78173,0.76977,0.49705,0.96794,0.00183837,0.00183837,0.00183837
6,2264.46,0.90688,0.59221,1.01793,0.97643,0.9383,0.98966,0.7748,0.73817,0.52726,0.96088,0.00179796,0.00179796,0.00179796
7,2646.86,0.85661,0.54966,1.00244,0.97533,0.97686,0.99302,0.79771,0.72322,0.43311,0.94903,0.00175755,0.00175755,0.00175755
8,3031.03,0.85734,0.54564,1.01122,0.99197,0.9526,0.99112,0.77773,0.77712,0.46313,0.95919,0.00171714,0.00171714,0.00171714
9,3415.33,0.84266,0.52746,1.00548,0.98207,0.98568,0.99275,0.8158,0.68519,0.42152,0.93696,0.00167673,0.00167673,0.00167673
10,3799.48,0.8407,0.51604,0.99982,0.98156,0.95812,0.98621,0.78359,0.75813,0.47951,0.9678,0.00163633,0.00163633,0.00163633
11,4184.23,0.82337,0.51019,0.99122,0.97664,0.96711,0.99183,0.8162,0.68611,0.43489,0.93018,0.00159592,0.00159592,0.00159592
12,4569.74,0.80846,0.488,0.98306,0.98204,0.9839,0.99012,0.80362,0.70067,0.41022,0.92985,0.00155551,0.00155551,0.00155551
13,4953.32,0.83273,0.49288,0.99214,0.9846,0.98585,0.99424,0.81085,0.70812,0.40687,0.93068,0.0015151,0.0015151,0.0015151
14,5339.22,0.81069,0.4852,0.98386,0.99212,0.97131,0.99334,0.83511,0.65764,0.37152,0.90855,0.00147469,0.00147469,0.00147469
15,5726.29,0.78326,0.47375,0.98192,0.98204,0.98401,0.99336,0.83154,0.65169,0.38184,0.9229,0.00143429,0.00143429,0.00143429
16,6107.87,0.78222,0.46584,0.97453,0.97952,0.98362,0.99418,0.82153,0.68148,0.40444,0.92393,0.00139388,0.00139388,0.00139388
17,6491.04,0.767,0.44539,0.96696,0.99225,0.98797,0.99452,0.83465,0.66201,0.40015,0.91272,0.00135347,0.00135347,0.00135347
18,6875.5,0.7668,0.45352,0.97144,0.98305,0.98201,0.99338,0.83821,0.6256,0.36462,0.89736,0.00131306,0.00131306,0.00131306
19,7259.66,0.76291,0.4415,0.96565,0.97636,0.99229,0.99425,0.84613,0.60633,0.38867,0.89523,0.00127265,0.00127265,0.00127265
20,7644.03,0.76014,0.44603,0.96785,0.9845,0.9799,0.99374,0.84088,0.62451,0.37678,0.90306,0.00123224,0.00123224,0.00123224
21,8029.79,0.73906,0.42883,0.95682,0.97685,0.99486,0.99338,0.84779,0.6093,0.33884,0.89714,0.00119184,0.00119184,0.00119184
22,8414.23,0.74599,0.42972,0.96808,0.97743,0.98715,0.99354,0.8453,0.61885,0.33683,0.90223,0.00115143,0.00115143,0.00115143
23,8798.84,0.73827,0.4244,0.95795,0.97405,0.99229,0.99441,0.8445,0.60773,0.33711,0.89752,0.00111102,0.00111102,0.00111102
24,9183.47,0.73047,0.41728,0.95847,0.98226,0.98715,0.9944,0.85068,0.59197,0.32769,0.89341,0.00107061,0.00107061,0.00107061
25,9567.28,0.73411,0.42656,0.96268,0.98972,0.9897,0.99445,0.84967,0.60501,0.33464,0.88386,0.0010302,0.0010302,0.0010302
26,9951.76,0.71423,0.40677,0.94912,0.98466,0.98994,0.99448,0.85207,0.60463,0.30526,0.88635,0.000989796,0.000989796,0.000989796
27,10328.8,0.7117,0.39973,0.95203,0.99224,0.98598,0.99445,0.85984,0.58743,0.30152,0.88393,0.000949388,0.000949388,0.000949388
