epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,399.334,0.55814,0.29611,0.87594,0.98456,0.98387,0.99405,0.86616,0.61513,0.31897,0.88685,0.000662162,0.000662162,0.000662162
2,777.417,0.64482,0.36268,0.8975,0.97473,0.98458,0.99409,0.85142,0.61983,0.34262,0.90093,0.00119727,0.00119727,0.00119727
3,1149.2,0.67318,0.38691,0.90663,0.97692,0.97935,0.99108,0.82936,0.6557,0.37558,0.90141,0.00160039,0.00160039,0.00160039
4,1520.99,0.67335,0.38839,0.90994,0.98943,0.98201,0.99399,0.85197,0.62282,0.3371,0.89671,0.001406,0.001406,0.001406
5,1895.28,0.64799,0.37676,0.90791,0.97699,0.98238,0.99398,0.84998,0.61021,0.36124,0.89952,0.001208,0.001208,0.001208
6,2272.87,0.63227,0.35457,0.90082,0.97674,0.98715,0.99406,0.85927,0.59914,0.32648,0.88825,0.00101,0.00101,0.00101
7,2670.74,0.6122,0.33888,0.89274,0.98066,0.98972,0.99427,0.84931,0.63573,0.31599,0.89372,0.000812,0.000812,0.000812
8,3061.72,0.59756,0.3274,0.89016,0.98463,0.98785,0.99433,0.8704,0.56035,0.29989,0.8727,0.000614,0.000614,0.000614
9,3458.07,0.5795,0.31106,0.88553,0.99144,0.98458,0.99461,0.87667,0.569,0.28614,0.87151,0.000416,0.000416,0.000416
10,3822.64,0.55335,0.29347,0.87122,0.98968,0.98618,0.99435,0.88378,0.53752,0.2646,0.86116,0.000218,0.000218,0.000218
